job,model,context,tool_rounds,seed,variant,detection,expected_output,full_accuracy,failed_slots,slots,final_rate,expected_output_given_final,mean_generated_tokens,mean_tool_calls
grpo_ctx8192_tools0_seed42,grpo,8192,0,42,all,0.4166666666666667,0.2152777777777778,0.2152777777777778,70,144,0.5138888888888888,0.4189189189189189,5106.118055555556,0.0
grpo_ctx8192_tools0_seed42,grpo,8192,0,42,original,0.4166666666666667,0.2222222222222222,0.2222222222222222,17,36,0.5277777777777778,0.42105263157894735,5138.611111111111,0.0
grpo_ctx8192_tools0_seed42,grpo,8192,0,42,renamed,0.4444444444444444,0.2222222222222222,0.2222222222222222,14,36,0.6111111111111112,0.36363636363636365,4648.277777777777,0.0
grpo_ctx8192_tools0_seed42,grpo,8192,0,42,reordered,0.4722222222222222,0.2222222222222222,0.2222222222222222,17,36,0.5277777777777778,0.42105263157894735,5126.777777777777,0.0
grpo_ctx8192_tools0_seed42,grpo,8192,0,42,renamed_reordered,0.3333333333333333,0.19444444444444445,0.19444444444444445,22,36,0.3888888888888889,0.5,5510.805555555556,0.0
base_ctx8192_tools1_seed42,base,8192,1,42,all,0.4097222222222222,0.4027777777777778,0.4027777777777778,85,144,0.4097222222222222,0.9830508474576272,5722.944444444444,0.7152777777777778
base_ctx8192_tools1_seed42,base,8192,1,42,original,0.5277777777777778,0.5,0.5,17,36,0.5277777777777778,0.9473684210526315,5564.444444444444,0.7777777777777778
base_ctx8192_tools1_seed42,base,8192,1,42,renamed,0.3055555555555556,0.3055555555555556,0.3055555555555556,25,36,0.3055555555555556,1.0,5972.388888888889,0.6388888888888888
base_ctx8192_tools1_seed42,base,8192,1,42,reordered,0.5277777777777778,0.5277777777777778,0.5277777777777778,17,36,0.5277777777777778,1.0,5453.527777777777,0.7777777777777778
base_ctx8192_tools1_seed42,base,8192,1,42,renamed_reordered,0.2777777777777778,0.2777777777777778,0.2777777777777778,26,36,0.2777777777777778,1.0,5901.416666666667,0.6666666666666666
sft_ctx8192_tools1_seed42,sft,8192,1,42,all,0.5902777777777778,0.24305555555555555,0.22916666666666666,31,144,0.7847222222222222,0.30973451327433627,3484.5,0.8125
sft_ctx8192_tools1_seed42,sft,8192,1,42,original,0.6388888888888888,0.25,0.19444444444444445,7,36,0.8055555555555556,0.3103448275862069,3139.277777777778,0.9166666666666666
sft_ctx8192_tools1_seed42,sft,8192,1,42,renamed,0.6388888888888888,0.2777777777777778,0.2777777777777778,4,36,0.8888888888888888,0.3125,3155.25,0.8611111111111112
sft_ctx8192_tools1_seed42,sft,8192,1,42,reordered,0.5833333333333334,0.2777777777777778,0.2777777777777778,7,36,0.8055555555555556,0.3448275862068966,3334.9444444444443,0.8333333333333334
sft_ctx8192_tools1_seed42,sft,8192,1,42,renamed_reordered,0.5,0.16666666666666666,0.16666666666666666,13,36,0.6388888888888888,0.2608695652173913,4308.527777777777,0.6388888888888888
